================================================================================
MAXIMUM ENTROPY CLASSIFIER - EVALUATION METRICS
================================================================================

Overall Accuracy: 0.1717

--------------------------------------------------------------------------------
Genre                Precision    Recall       F1-Score     Support   
--------------------------------------------------------------------------------
Action               0.1139       0.0308       0.0485       292       
Action/Adventure     0.1139       0.0275       0.0443       327       
Adventure            0.0435       0.0055       0.0098       182       
Animation            0.0000       0.0000       0.0000       44        
B-movie              0.0000       0.0000       0.0000       42        
Biographical film    0.0000       0.0000       0.0000       66        
Biography            0.0000       0.0000       0.0000       72        
Black comedy         0.0000       0.0000       0.0000       65        
Black-and-white      0.0000       0.0000       0.0000       42        
Bollywood            0.0000       0.0000       0.0000       40        
Children's/Family    0.5000       0.0185       0.0357       54        
Christian film       0.0000       0.0000       0.0000       32        
Comedy               0.0541       0.0056       0.0101       358       
Comedy film          0.0625       0.0038       0.0072       262       
Comedy-drama         0.0000       0.0000       0.0000       45        
Costume drama        0.0000       0.0000       0.0000       32        
Crime Fiction        0.1214       0.1866       0.1471       879       
Cult                 0.0000       0.0000       0.0000       83        
Culture & Society    0.0000       0.0000       0.0000       38        
Documentary          0.2243       0.1714       0.1943       140       
Drama                0.1468       0.3467       0.2062       900       
Ensemble Film        0.0000       0.0000       0.0000       48        
Family Drama         0.0000       0.0000       0.0000       61        
Family Film          0.2500       0.0346       0.0608       289       
Fantasy              0.0000       0.0000       0.0000       63        
History              0.0000       0.0000       0.0000       43        
Horror               0.1545       0.0564       0.0826       337       
Indie                0.0000       0.0000       0.0000       82        
Japanese Movies      0.3500       0.0753       0.1239       186       
LGBT                 0.0000       0.0000       0.0000       214       
Melodrama            0.0000       0.0000       0.0000       57        
Monster movie        0.0000       0.0000       0.0000       44        
Music                0.0000       0.0000       0.0000       48        
Musical              0.1364       0.0110       0.0204       272       
Mystery              0.0000       0.0000       0.0000       81        
Parody               0.0800       0.0104       0.0184       192       
Period piece         0.0000       0.0000       0.0000       59        
Romance Film         0.1642       0.1501       0.1568       513       
Romantic comedy      0.1876       0.2867       0.2268       579       
Romantic drama       0.0238       0.0036       0.0062       279       
Science Fiction      0.2088       0.0638       0.0977       298       
Short Film           0.2456       0.6358       0.3543       876       
Silent film          0.3151       0.0935       0.1442       246       
Sports               0.3333       0.0484       0.0845       124       
Thriller             0.1480       0.3678       0.2110       900       
War film             0.0625       0.0250       0.0357       40        
Western              0.0000       0.0000       0.0000       93        
World cinema         0.1111       0.0124       0.0223       161       
Zombie Film          0.0000       0.0000       0.0000       35        
--------------------------------------------------------------------------------
Macro Average        0.0847       0.0545       0.0479      
================================================================================
