================================================================================
MAXIMUM ENTROPY CLASSIFIER - EVALUATION METRICS
================================================================================

Overall Accuracy: 0.1454

--------------------------------------------------------------------------------
category             Precision    Recall       F1-Score     Support   
--------------------------------------------------------------------------------
ARTS                 0.2062       0.3320       0.2544       259       
ARTS & CULTURE       0.1168       0.1367       0.1260       300       
BLACK VOICES         0.1250       0.0200       0.0345       300       
BUSINESS             0.1279       0.0367       0.0570       300       
COLLEGE              0.1000       0.0688       0.0815       276       
COMEDY               0.1990       0.1267       0.1548       300       
CRIME                0.1654       0.2167       0.1876       300       
CULTURE & ARTS       0.1085       0.1867       0.1373       300       
DIVORCE              0.1332       0.1767       0.1519       300       
EDUCATION            0.2176       0.1365       0.1678       271       
ENTERTAINMENT        0.0709       0.0333       0.0454       300       
ENVIRONMENT          0.1782       0.1200       0.1434       300       
FIFTY                0.1903       0.4733       0.2715       300       
FOOD & DRINK         0.0875       0.0700       0.0778       300       
GOOD NEWS            0.1080       0.0767       0.0897       300       
GREEN                0.1591       0.0700       0.0972       300       
HEALTHY LIVING       0.0584       0.1033       0.0746       300       
HOME & LIVING        0.1333       0.1667       0.1481       300       
IMPACT               0.0333       0.0100       0.0154       300       
LATINO VOICES        0.1143       0.0267       0.0432       300       
MEDIA                0.0917       0.1033       0.0972       300       
MONEY                0.2286       0.1600       0.1882       300       
PARENTING            0.1138       0.0467       0.0662       300       
PARENTS              0.1036       0.0867       0.0944       300       
POLITICS             0.1786       0.1167       0.1411       300       
QUEER VOICES         0.2000       0.0433       0.0712       300       
RELIGION             0.1883       0.0967       0.1278       300       
SCIENCE              0.1246       0.1167       0.1205       300       
SPORTS               0.1374       0.0833       0.1037       300       
STYLE                0.1393       0.2633       0.1822       300       
STYLE & BEAUTY       0.1792       0.2467       0.2076       300       
TASTE                0.1046       0.0533       0.0706       300       
TECH                 0.1558       0.1033       0.1242       300       
THE WORLDPOST        0.1285       0.2433       0.1682       300       
TRAVEL               0.1257       0.0767       0.0952       300       
U.S. NEWS            0.1475       0.3967       0.2150       300       
WEDDINGS             0.2303       0.1167       0.1549       300       
WEIRD NEWS           0.0887       0.1967       0.1223       300       
WELLNESS             0.0929       0.1267       0.1072       300       
WOMEN                0.1605       0.0433       0.0682       300       
WORLD NEWS           0.1476       0.1933       0.1674       300       
WORLDPOST            0.3036       0.6233       0.4083       300       
--------------------------------------------------------------------------------
Macro Average        0.1429       0.1458       0.1300      
================================================================================
