================================================================================
NAIVE BAYES CLASSIFIER - EVALUATION METRICS
================================================================================

Overall Accuracy: 0.2555

--------------------------------------------------------------------------------
Genre                Precision    Recall       F1-Score     Support   
--------------------------------------------------------------------------------
Action               0.2012       0.3390       0.2526       292       
Action/Adventure     0.2186       0.1223       0.1569       327       
Adventure            0.1336       0.2253       0.1677       182       
Animation            0.2000       0.0227       0.0408       44        
B-movie              0.0169       0.0238       0.0198       42        
Biographical film    0.1333       0.0606       0.0833       66        
Biography            0.1250       0.0833       0.1000       72        
Black comedy         0.2000       0.0154       0.0286       65        
Black-and-white      0.0000       0.0000       0.0000       42        
Bollywood            0.0769       0.0250       0.0377       40        
Children's/Family    0.0714       0.0185       0.0294       54        
Christian film       0.0000       0.0000       0.0000       32        
Comedy               0.1397       0.1229       0.1308       358       
Comedy film          0.0933       0.2405       0.1345       262       
Comedy-drama         0.0000       0.0000       0.0000       45        
Costume drama        0.2500       0.0938       0.1364       32        
Crime Fiction        0.4385       0.2230       0.2956       879       
Cult                 0.1471       0.0602       0.0855       83        
Culture & Society    0.0000       0.0000       0.0000       38        
Documentary          0.1425       0.8286       0.2432       140       
Drama                0.2279       0.3067       0.2615       900       
Ensemble Film        0.0000       0.0000       0.0000       48        
Family Drama         0.0000       0.0000       0.0000       61        
Family Film          0.2465       0.1211       0.1624       289       
Fantasy              0.1250       0.0159       0.0282       63        
History              0.0476       0.0233       0.0312       43        
Horror               0.3596       0.2849       0.3179       337       
Indie                0.1667       0.0122       0.0227       82        
Japanese Movies      0.4528       0.1290       0.2008       186       
LGBT                 0.2870       0.1449       0.1925       214       
Melodrama            0.0000       0.0000       0.0000       57        
Monster movie        0.0000       0.0000       0.0000       44        
Music                0.1628       0.1458       0.1538       48        
Musical              0.2589       0.1066       0.1510       272       
Mystery              0.0603       0.1481       0.0857       81        
Parody               0.2069       0.0938       0.1290       192       
Period piece         0.0278       0.0169       0.0211       59        
Romance Film         0.2383       0.2378       0.2380       513       
Romantic comedy      0.3163       0.3627       0.3379       579       
Romantic drama       0.1461       0.0932       0.1138       279       
Science Fiction      0.3039       0.4161       0.3513       298       
Short Film           0.7133       0.5765       0.6376       876       
Silent film          0.1898       0.4553       0.2679       246       
Sports               0.4855       0.5403       0.5115       124       
Thriller             0.2655       0.2378       0.2509       900       
War film             0.1121       0.3250       0.1667       40        
Western              0.2368       0.4839       0.3180       93        
World cinema         0.1111       0.0683       0.0846       161       
Zombie Film          0.5000       0.2000       0.2857       35        
--------------------------------------------------------------------------------
Macro Average        0.1803       0.1643       0.1483      
================================================================================
