================================================================================
NAIVE BAYES CLASSIFIER - EVALUATION METRICS
================================================================================

Overall Accuracy: 0.2905

--------------------------------------------------------------------------------
category             Precision    Recall       F1-Score     Support   
--------------------------------------------------------------------------------
ARTS                 0.3865       0.4865       0.4308       259       
ARTS & CULTURE       0.2447       0.1533       0.1885       300       
BLACK VOICES         0.2083       0.1000       0.1351       300       
BUSINESS             0.2178       0.1467       0.1753       300       
COLLEGE              0.3540       0.2065       0.2609       276       
COMEDY               0.2153       0.2633       0.2369       300       
CRIME                0.2786       0.3567       0.3129       300       
CULTURE & ARTS       0.3048       0.3800       0.3383       300       
DIVORCE              0.4164       0.4567       0.4356       300       
EDUCATION            0.4491       0.4723       0.4604       271       
ENTERTAINMENT        0.1796       0.1467       0.1615       300       
ENVIRONMENT          0.2815       0.2533       0.2667       300       
FIFTY                0.1686       0.5900       0.2622       300       
FOOD & DRINK         0.3493       0.2667       0.3025       300       
GOOD NEWS            0.1535       0.1033       0.1235       300       
GREEN                0.3168       0.2133       0.2550       300       
HEALTHY LIVING       0.1504       0.1233       0.1355       300       
HOME & LIVING        0.3863       0.3000       0.3377       300       
IMPACT               0.2204       0.1800       0.1982       300       
LATINO VOICES        0.3495       0.1200       0.1787       300       
MEDIA                0.3599       0.3467       0.3531       300       
MONEY                0.4038       0.4267       0.4149       300       
PARENTING            0.2241       0.2167       0.2203       300       
PARENTS              0.1675       0.2133       0.1877       300       
POLITICS             0.2885       0.2500       0.2679       300       
QUEER VOICES         0.3944       0.1867       0.2534       300       
RELIGION             0.4873       0.3200       0.3863       300       
SCIENCE              0.4211       0.3200       0.3636       300       
SPORTS               0.4039       0.2733       0.3260       300       
STYLE                0.1721       0.2833       0.2141       300       
STYLE & BEAUTY       0.4202       0.4567       0.4377       300       
TASTE                0.2490       0.2133       0.2298       300       
TECH                 0.4783       0.2933       0.3636       300       
THE WORLDPOST        0.2973       0.2567       0.2755       300       
TRAVEL               0.3988       0.4600       0.4272       300       
U.S. NEWS            0.2278       0.3333       0.2706       300       
WEDDINGS             0.4943       0.4300       0.4599       300       
WEIRD NEWS           0.1416       0.2233       0.1734       300       
WELLNESS             0.2427       0.3333       0.2809       300       
WOMEN                0.2131       0.1300       0.1615       300       
WORLD NEWS           0.2655       0.2567       0.2610       300       
WORLDPOST            0.4274       0.6967       0.5298       300       
--------------------------------------------------------------------------------
Macro Average        0.3050       0.2914       0.2870      
================================================================================
